system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
5,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.0020181,0.9690355612736522,0.074742356,2.846519939642384,-0.923018939,-1.171035931,-2.562410407,0,low
5,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001809175,2.4856846010635625,0.07925389,0.4758434951841355,-3.602580488,1.7490939482793502,1.6784386177876045,0,low
5,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.070616503,2.8437643600634153,0.083762183,0.3445471402130583,-4.157136794,2.850351594807914,1.3176946517529746,0,low
5,2,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.001883091,0.9690355612736522,0.074742356,2.846519939642384,-0.923018939,-1.171035931,-2.562410407,1,low
5,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.002082692,2.8997863536168142,0.085941848,0.6127754488663568,-2.657111869,1.8575551739960727,0.6913782719616726,1,low
5,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.016669451672919004,2.8623774517531118,0.099231743,2.0365057548029037,4.785505651056368,-2.62213081,-2.569735685,1,low
6,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.00564489,1.3667840761449295,0.089580642,0.8539601920224795,-3.155680734,0.05436724,-1.86254144,0,low
6,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.002563577,3.875862711724166,0.051219691429404926,0.734353944,2.819153608910465,-3.100555767,-1.055582706,0,low
6,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000632395,0.905853065,0.089756615,0.7354587690882585,-3.857127806,-3.065795318,-2.025797422,0,low
6,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.007308102,1.4920169939822088,0.097474276,1.1747351501786822,4.442750815315984,0.4404517863968341,-3.534446586,1,low
6,2,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.003495932,0.8613964138710045,0.069751746,0,-3.417132393,-1.570796327,-1.865793852,1,low
