system,n_orbit_options,xyzs,planet,a,e,i,o,O,M0,incl_group
1,,"[[-4.367377141149027, -0.4471642317433244, -2.010035801288735], [-4.292510270584319, -1.7106410346737149, -1.423238687639585], [-3.829976597604859, -2.805735923942754, -0.7135768479863503]]",1,4.615822660444791,0.050102258,0.5869356807144613,2.3896630391056095,3.9997341918898046,3.037191084925631,low
1,,"[[-1.7577514076645027, -1.6975932314782174, -0.12284565215650274], [-0.30835448341070654, -2.4218904807556596, 0.9035630050699099], [1.3507088301611139, -1.7249695553080464, 1.4415663781890808]]",2,2.462264277245404,0.072877959,0.5869356807144613,4.610527492216533,3.9997341918898046,1.436332821154692,low
1,,"[[-1.8687662614526828, -1.9411313234927574, -0.09518506002634711], [-0.2737900167655939, -2.432396974434649, 0.9233522610325918], [1.46985278642078, -1.6479403319668222, 1.4570431011596034]]",3,2.8634324981534824,0.08864616,0.5869356807144613,0.873442438,3.9997341918898046,5.4833510985815375,low
2,,"[[-1.3128864522818353, 0.29863941487817414, -0.0842866893706293], [0.2067354448897755, -1.115046671899025, -0.7431917115676461], [0.8948443276944622, 0.5990689293661544, 0.6415416250145615]]",1,1.324662030406731,0.052902079,0.644729817,0.8942886036117484,5.956377183475464,2.2722765323654923,low
2,,"[[0.8644125438945974, -0.3085719321237785, -0.016560065413295678], [-0.946885905764176, 0.052505324997645694, -0.18306173718200505], [0.8409323497366423, 0.17011770198139137, 0.31380292113188946]]",2,0.9406604641627448,0.029828331,0.644729817,0.5716084983336368,5.956377183475464,5.714683724530217,low
2,,"[[-2.519464491426506, -0.29966623429901784, -0.8180481001297644], [-1.4909612501801406, -1.6867384385014839, -1.5457806221319834], [0.20514590052854512, -2.2039751430672405, -1.5496560504362515]]",3,2.631802498,0.040775683,0.644729817,1.684006603,5.956377183475464,1.9167628528598355,low
3,,"[[-1.0913198781915472, -2.6059648673396003, 0.25703806666156703], [0.3613491774816243, -2.820690672987757, -0.7794524077464308], [1.7099264884190264, -1.8741797727354474, -1.5186541031738234]]",1,2.8108210793044934,0.051081382,0.619800325,1.1863667512887006,1.307238133522965,1.6982159818680285,low
3,,"[[0.4709574996360307, 2.2082124871155098, 0.11008479739217418], [-1.1566005282956564, 1.6671018531173551, 1.1026166781158586], [-1.8578646000183634, -0.11080656151200136, 1.2597720535933947]]",2,2.2055691585585917,0.046551821,0.619800325,4.015968520785465,1.307238133522965,2.2827573824087968,low
3,,"[[-1.1825762253413061, -2.2995804112369957, 0.37423202662740207], [0.28728880168488885, -2.58705005511076, -0.6798162195728762], [1.6061873819052448, -1.6025211831770179, -1.4050729541224687]]",3,2.506742500779418,0.076980153,0.619800325,0.6149591878911114,1.307238133522965,2.1570288299662908,low
4,,"[[-1.1877474670613, 3.1423202369175005, 2.3631508387617846], [-2.4061386262047155, 2.0769720680726826, 2.4488560677680247], [-3.2706068540873603, 0.7538364356843399, 2.1698567607194454]]",1,4.329050214211248,0.071542478,0.6565542795364405,1.8820246042886797,0.746102825,5.7380241106142424,low
4,,"[[1.1041008008249784, 1.3285263904550353, 0.18952102064149035], [-0.900345375433892, 1.0986933198408397, 1.0698784372935055], [-1.4918954160262614, -0.9231199031154889, 0.2792402653903382]]",2,1.7686639264275132,0.008064782,0.6565542795364405,1.5617839878335618,0.746102825,4.913978434618786,low
4,,"[[1.0669072296692739, 0.062411759437181066, -0.528707704006759], [-0.5656631725779734, 0.8289446565190609, 0.7740703823577948], [-0.42050179547235766, -1.0743474099592043, -0.377828804660026]]",3,1.2295174018055832,0.038593847,0.6565542795364405,4.817668653065516,0.746102825,0.6055602524945015,low
5,,"[[-0.7485240380851718, 0.7213349971509034, -0.3174518197553003], [0.44436420752490574, -0.8333498077930976, 0.1882789998117834], [-0.5148649192585333, 0.8690641252856811, -0.22612954969411678]]",1,1.031136310400604,0.06586858,0.4201720372029051,1.343907669278097,4.758252472844026,2.5233473212514466,low
5,,"[[2.249572345461287, -0.09620658272505098, 1.0009524348687733], [1.7450214829990953, 1.689299613852626, 0.821132938196369], [0.3363091055483692, 2.627839621327289, 0.19182337298797242]]",2,2.4754394296921327,0.075154356,0.4201720372029051,6.193713059699979,4.758252472844026,1.426115360910161,low
